Age,Income,Gender,Spend_Score,Education,City,Purchased
56,21920,Male,54,Bachelors,Chennai,1
69,126121,Female,43,Bachelors,Chennai,0
46,97219,Female,42,PhD,Bangalore,0
32,96872,Female,81,PhD,Delhi,0
60,101132,Female,22,Bachelors,Mumbai,0
25,22093,Male,68,PhD,Bangalore,0
38,32905,Female,19,PhD,Kolkata,0
56,141759,Female,66,Masters,Mumbai,1
36,44351,Male,39,PhD,Kolkata,0
40,50981,Male,73,Masters,Bangalore,1
28,93903,Female,19,High School,Delhi,0
28,90821,Female,16,Masters,Kolkata,0
41,129200,Male,54,Masters,Bangalore,0
53,123241,Male,25,PhD,Mumbai,0
57,102289,Male,18,Bachelors,Delhi,1
41,136506,Female,23,High School,Kolkata,1
20,104021,Female,85,High School,Bangalore,0
39,98513,Male,11,High School,Delhi,1
19,39874,Female,39,Bachelors,Delhi,1
41,70931,Male,68,High School,Chennai,1
61,27674,Female,25,High School,Delhi,0
47,70516,Male,63,Bachelors,Bangalore,1
55,141982,Male,96,High School,Mumbai,0
19,148408,Female,30,PhD,Chennai,1
38,114574,Female,45,PhD,Bangalore,0
50,80686,Female,90,Masters,Bangalore,0
29,114851,Female,61,Masters,Bangalore,0
39,89212,Female,51,Masters,Kolkata,0
61,22426,Female,98,PhD,Kolkata,1
42,142952,Male,9,PhD,Mumbai,0
66,110009,Female,76,PhD,Bangalore,0
44,88498,Male,2,Masters,Kolkata,1
59,49943,Male,5,Masters,Kolkata,0
45,86395,Female,62,Masters,Kolkata,0
33,64816,Male,69,Masters,Mumbai,0
32,24138,Male,52,Masters,Mumbai,0
64,120728,Female,86,Masters,Bangalore,0
68,111176,Female,5,PhD,Chennai,0
61,95945,Female,59,Bachelors,Bangalore,1
69,24017,Male,68,Bachelors,Kolkata,1
20,30451,Female,9,Masters,Kolkata,0
54,82956,Female,93,Bachelors,Delhi,0
68,113863,Female,22,Bachelors,Bangalore,0
24,30278,Female,27,PhD,Kolkata,1
38,110480,Male,10,Masters,Kolkata,0
26,63764,Female,80,Masters,Chennai,1
56,143030,Male,61,Bachelors,Delhi,0
35,21134,Female,51,Masters,Bangalore,1
21,82943,Male,10,Masters,Mumbai,0
42,115667,Male,6,Masters,Bangalore,1
31,74318,Male,62,Masters,Bangalore,0
67,123423,Female,5,Bachelors,Chennai,1
26,123998,Male,70,High School,Bangalore,0
43,80128,Female,63,Bachelors,Chennai,0
19,108056,Female,56,PhD,Chennai,0
37,41869,Female,59,High School,Kolkata,1
45,122468,Female,63,High School,Mumbai,1
64,137034,Female,89,High School,Chennai,0
24,25039,Male,59,Bachelors,Delhi,0
61,41281,Female,51,PhD,Delhi,0
25,132935,Male,50,Bachelors,Mumbai,1
64,30442,Male,4,PhD,Chennai,1
52,93788,Male,48,Bachelors,Mumbai,1
31,139729,Male,32,Bachelors,Kolkata,0
34,47586,Male,51,Bachelors,Delhi,1
53,73053,Male,52,High School,Bangalore,1
67,70489,Male,99,Bachelors,Delhi,1
57,103104,Female,74,PhD,Chennai,0
21,106346,Male,34,PhD,Mumbai,1
19,87087,Female,36,PhD,Delhi,0
23,32625,Male,70,High School,Bangalore,0
59,54397,Male,43,Bachelors,Bangalore,0
21,78671,Male,16,Bachelors,Mumbai,0
46,136214,Male,59,Masters,Mumbai,0
35,111785,Female,53,High School,Delhi,0
43,86897,Female,19,PhD,Chennai,0
61,46149,Female,98,PhD,Kolkata,1
51,80030,Male,89,Bachelors,Bangalore,0
27,89906,Male,95,PhD,Mumbai,0
53,25283,Male,41,Bachelors,Kolkata,0
31,27610,Female,81,Bachelors,Kolkata,1
48,63326,Male,47,Masters,Kolkata,1
65,34924,Female,94,High School,Chennai,0
32,133143,Female,54,Bachelors,Mumbai,1
25,130253,Male,55,Bachelors,Bangalore,0
31,96162,Male,95,Bachelors,Mumbai,1
40,120297,Female,19,Masters,Delhi,0
57,20869,Female,62,Bachelors,Bangalore,0
38,117088,Female,99,High School,Mumbai,0
33,21014,Male,93,High School,Bangalore,0
62,30103,Male,59,PhD,Delhi,0
35,102522,Male,65,High School,Bangalore,1
64,130317,Male,68,PhD,Kolkata,1
41,116007,Male,28,High School,Chennai,0
43,53458,Male,18,PhD,Delhi,0
42,110605,Female,26,Bachelors,Bangalore,0
62,102409,Female,19,Masters,Delhi,0
58,43248,Female,55,Masters,Kolkata,1
46,109160,Male,57,Masters,Chennai,0
32,63516,Female,6,Bachelors,Delhi,1
62,49061,Male,1,Masters,Kolkata,0
18,44170,Male,8,High School,Kolkata,0
42,28024,Female,97,PhD,Kolkata,0
24,102214,Male,51,Bachelors,Bangalore,0
26,123792,Female,85,Masters,Mumbai,0
41,105947,Female,88,High School,Delhi,1
18,63803,Male,25,High School,Mumbai,0
61,39296,Female,47,Bachelors,Kolkata,0
25,111829,Female,55,Bachelors,Mumbai,1
41,112708,Female,64,Masters,Kolkata,0
28,106664,Female,83,PhD,Kolkata,1
68,38257,Male,93,Masters,Chennai,0
34,32855,Female,10,Masters,Chennai,0
25,105178,Female,56,Bachelors,Mumbai,1
52,149876,Female,12,Masters,Delhi,1
52,121121,Male,33,Masters,Mumbai,0
50,143324,Female,71,PhD,Delhi,0
22,40025,Male,17,High School,Mumbai,1
59,24458,Female,61,High School,Bangalore,0
56,83610,Female,10,PhD,Bangalore,0
58,90843,Female,31,High School,Delhi,1
45,127237,Male,60,Masters,Chennai,1
24,103961,Male,70,PhD,Delhi,1
26,69831,Male,17,PhD,Mumbai,1
25,63427,Male,50,Bachelors,Kolkata,1
29,113809,Male,37,High School,Bangalore,1
51,58506,Male,82,Bachelors,Kolkata,1
50,25668,Female,62,Masters,Bangalore,0
65,111470,Male,90,PhD,Mumbai,0
40,67195,Female,80,Masters,Bangalore,1
41,93233,Male,72,High School,Delhi,1
54,44417,Male,88,Bachelors,Kolkata,0
52,101982,Male,77,High School,Kolkata,0
61,126133,Female,29,Masters,Mumbai,1
57,30751,Male,32,Bachelors,Kolkata,0
39,66218,Male,88,High School,Mumbai,0
44,146649,Female,80,Masters,Chennai,1
52,27352,Female,11,High School,Delhi,1
18,99052,Female,96,PhD,Bangalore,1
52,108835,Female,6,Bachelors,Bangalore,1
54,117493,Male,35,Bachelors,Bangalore,0
64,48927,Female,33,Bachelors,Chennai,1
31,61094,Male,18,PhD,Delhi,0
20,121948,Male,37,Bachelors,Kolkata,1
18,74122,Female,13,PhD,Kolkata,0
22,49493,Male,74,Bachelors,Delhi,0
43,112247,Female,90,High School,Delhi,0
31,93539,Male,81,High School,Bangalore,0
56,51707,Female,64,High School,Kolkata,1
44,88814,Female,1,High School,Delhi,1
26,27296,Female,63,PhD,Kolkata,1
32,45398,Female,89,Masters,Delhi,1
32,55842,Female,34,Masters,Mumbai,0
43,33261,Female,10,High School,Bangalore,1
59,96709,Male,84,Masters,Delhi,1
30,115985,Male,7,Masters,Chennai,1
68,126616,Male,56,Bachelors,Delhi,0
49,76704,Female,80,PhD,Mumbai,1
56,87173,Male,37,High School,Chennai,1
66,51781,Female,29,Masters,Chennai,0
69,33652,Male,12,Masters,Delhi,1
49,25103,Male,17,High School,Mumbai,1
21,45500,Female,48,Bachelors,Chennai,0
47,135332,Male,84,High School,Bangalore,1
54,120336,Male,26,Bachelors,Bangalore,1
40,55529,Male,83,Masters,Kolkata,1
56,133499,Female,12,PhD,Kolkata,0
62,38452,Male,21,Bachelors,Mumbai,1
32,69393,Female,42,Bachelors,Chennai,0
60,51174,Male,61,High School,Bangalore,0
46,84450,Male,58,Masters,Bangalore,1
53,55436,Male,54,PhD,Mumbai,1
30,67406,Male,34,High School,Chennai,1
49,83059,Female,7,High School,Mumbai,0
24,35954,Male,35,PhD,Delhi,0
68,102722,Female,15,Masters,Bangalore,1
39,139747,Female,65,PhD,Mumbai,0
45,32356,Male,90,High School,Mumbai,1
19,148128,Male,99,High School,Delhi,1
59,118499,Female,25,Bachelors,Kolkata,1
62,22187,Female,59,PhD,Bangalore,0
23,97243,Male,79,PhD,Mumbai,1
45,55098,Male,86,PhD,Bangalore,1
45,112471,Male,6,High School,Kolkata,0
61,41225,Male,52,Masters,Mumbai,0
61,23606,Male,79,High School,Delhi,0
37,148664,Female,88,Bachelors,Bangalore,0
47,77620,Male,21,High School,Delhi,1
28,52828,Male,71,High School,Kolkata,1
45,146270,Female,93,High School,Kolkata,1
42,46489,Male,96,Bachelors,Bangalore,0
56,34387,Male,32,PhD,Kolkata,1
50,89463,Female,53,Masters,Chennai,0
18,91832,Male,59,Masters,Bangalore,1
44,115980,Female,69,Bachelors,Chennai,1
69,131926,Male,62,PhD,Kolkata,1
30,132429,Male,4,PhD,Bangalore,1
58,22591,Male,86,Bachelors,Chennai,1
20,143446,Female,18,High School,Kolkata,1
56,130431,Female,99,PhD,Mumbai,1
23,68516,Female,81,Masters,Mumbai,0
25,111683,Female,56,Bachelors,Delhi,1
44,82061,Male,24,Masters,Mumbai,1
26,124425,Female,66,High School,Chennai,0
54,86736,Female,13,Bachelors,Mumbai,0
50,101257,Female,62,Masters,Bangalore,1
68,81753,Male,54,Masters,Bangalore,0
59,104774,Male,15,High School,Bangalore,0
61,31087,Female,69,Bachelors,Mumbai,1
41,50816,Female,3,PhD,Mumbai,1
32,43408,Male,37,PhD,Delhi,1
49,144116,Female,37,Masters,Kolkata,0
49,125276,Female,3,High School,Delhi,0
41,20136,Female,63,Masters,Chennai,0
58,37413,Female,35,High School,Bangalore,0
69,133650,Male,52,PhD,Mumbai,0
66,79500,Male,87,Masters,Kolkata,1
66,104514,Male,28,Masters,Kolkata,0
69,76358,Female,94,High School,Mumbai,0
29,86197,Female,18,Bachelors,Delhi,0
56,120776,Male,36,High School,Kolkata,0
19,112789,Male,33,Bachelors,Delhi,0
20,112420,Male,64,PhD,Mumbai,0
66,52854,Female,26,Masters,Delhi,1
54,96240,Male,48,Masters,Bangalore,0
66,124523,Female,40,High School,Mumbai,0
34,149494,Female,17,High School,Mumbai,0
66,110063,Male,40,PhD,Kolkata,0
19,36322,Male,7,PhD,Kolkata,0
19,133053,Female,57,Bachelors,Kolkata,0
45,26968,Male,8,PhD,Bangalore,0
40,47518,Male,56,PhD,Bangalore,1
54,71925,Female,31,PhD,Chennai,0
49,79848,Female,59,PhD,Mumbai,0
50,131900,Female,58,Bachelors,Kolkata,0
18,113422,Female,12,PhD,Mumbai,0
36,21700,Female,48,Bachelors,Delhi,0
19,113782,Male,31,High School,Bangalore,0
61,121004,Female,83,Masters,Chennai,0
43,43199,Female,63,High School,Delhi,0
49,64589,Female,74,PhD,Mumbai,0
23,52115,Male,39,Masters,Bangalore,0
49,81934,Female,76,PhD,Kolkata,0
